GEO.id,GEO.id2,GEO.display-label,HC01_VC03,HC02_VC03,HC03_VC03,HC04_VC03,HC01_VC04,HC02_VC04,HC03_VC04,HC04_VC04,HC01_VC09,HC02_VC09,HC03_VC09,HC04_VC09,HC01_VC11,HC02_VC11,HC03_VC11,HC04_VC11,HC01_VC74,HC02_VC74,HC03_VC74,HC04_VC74,HC01_VC75,HC02_VC75,HC03_VC75,HC04_VC75,HC01_VC76,HC02_VC76,HC03_VC76,HC04_VC76,HC01_VC77,HC02_VC77,HC03_VC77,HC04_VC77,HC01_VC78,HC02_VC78,HC03_VC78,HC04_VC78,HC01_VC79,HC02_VC79,HC03_VC79,HC04_VC79,HC01_VC80,HC02_VC80,HC03_VC80,HC04_VC80,HC01_VC81,HC02_VC81,HC03_VC81,HC04_VC81,HC01_VC82,HC02_VC82,HC03_VC82,HC04_VC82,HC01_VC83,HC02_VC83,HC03_VC83,HC04_VC83,HC01_VC84,HC02_VC84,HC03_VC84,HC04_VC84,HC01_VC85,HC02_VC85,HC03_VC85,HC04_VC85,HC01_VC86,HC02_VC86,HC03_VC86,HC04_VC86,HC01_VC101,HC02_VC101,HC03_VC101,HC04_VC101,HC01_VC118,HC02_VC118,HC03_VC118,HC04_VC118,HC01_VC130,HC02_VC130,HC03_VC130,HC04_VC130,HC01_VC131,HC02_VC131,HC03_VC131,HC04_VC131,HC01_VC132,HC02_VC132,HC03_VC132,HC04_VC132,HC01_VC133,HC02_VC133,HC03_VC133,HC04_VC133,HC01_VC134,HC02_VC134,HC03_VC134,HC04_VC134,HC01_VC161,HC02_VC161,HC03_VC161,HC04_VC161,HC01_VC162,HC02_VC162,HC03_VC162,HC04_VC162,HC01_VC163,HC02_VC163,HC03_VC163,HC04_VC163
0500000US36103,36103,"Suffolk County, New York",1209074,1705,1209074,,784217,7986,64.9,0.7,424857,7987,35.1,0.7,783811,8062,783811,,493287,4392,493287,,19499,2353,4.0,0.5,13021,1887,2.6,0.4,30101,2688,6.1,0.5,30102,2738,6.1,0.5,47617,3099,9.7,0.6,75945,4697,15.4,1.0,63822,3358,12.9,0.7,100117,4100,20.3,0.8,55673,3462,11.3,0.7,57390,2794,11.6,0.6,86266,1775,,,109788,1782,,,35925,3135,7.3,0.6,37295,593,,,1487087,1908,1487087,,1374313,8428,92.4,0.5,1142392,14093,76.8,0.9,413752,11984,27.8,0.8,112774,8114,7.6,0.5,,,4.9,0.5,,,8.0,1.1,,,7.8,3.0
0500000US36105,36105,"Sullivan County, New York",61595,408,61595,,36674,1860,59.5,3.1,24921,1943,40.5,3.1,36674,1860,36674,,27524,1585,27524,,2236,739,8.1,2.7,1649,720,6.0,2.5,2902,670,10.5,2.3,3090,747,11.2,2.5,3452,750,12.5,2.7,5417,972,19.7,3.4,3663,849,13.3,2.9,2903,667,10.5,2.5,1582,451,5.7,1.6,630,323,2.3,1.1,53219,7066,,,65442,5154,,,4149,905,15.1,3.2,26210,2108,,,73538,759,73538,,67460,1530,91.7,1.8,47157,2470,64.1,3.3,32296,2880,43.9,3.8,6078,1333,8.3,1.8,,,10.8,3.8,,,15.0,6.3,,,11.1,11.5
0500000US36109,36109,"Tompkins County, New York",90174,640,90174,,51534,2186,57.1,2.4,38640,2214,42.9,2.4,51534,2186,51534,,38120,1565,38120,,4605,1031,12.1,2.6,1577,572,4.1,1.5,2572,775,6.7,2.0,4633,1242,12.2,3.2,5252,1066,13.8,2.8,5951,1058,15.6,2.7,4587,943,12.0,2.4,4893,1006,12.8,2.5,1992,564,5.2,1.5,2058,616,5.4,1.7,52885,6027,,,74339,5920,,,3185,736,8.4,1.9,28648,2007,,,103850,425,103850,,99039,1394,95.4,1.3,81157,3672,78.1,3.5,28293,3330,27.2,3.2,4811,1330,4.6,1.3,,,9.3,3.4,,,15.3,6.9,,,11.6,12.6
0500000US36111,36111,"Ulster County, New York",150907,617,150907,,93358,2834,61.9,1.9,57549,2904,38.1,1.9,93188,2852,93188,,69522,2130,69522,,4274,1029,6.1,1.5,4626,934,6.7,1.3,6508,1059,9.4,1.5,7821,1177,11.2,1.6,8073,1288,11.6,1.8,11023,1677,15.9,2.3,8710,1352,12.5,1.9,10653,1238,15.3,1.8,4009,799,5.8,1.1,3825,767,5.5,1.1,58093,4824,,,77260,4780,,,9529,1209,13.7,1.7,30870,1988,,,175982,1174,175982,,163310,2571,92.8,1.2,120265,4637,68.3,2.6,68237,4155,38.8,2.3,12672,2082,7.2,1.2,,,6.6,1.8,,,11.4,3.3,,,11.1,9.8
0500000US36113,36113,"Warren County, New York",54565,513,54565,,32781,1304,60.1,2.3,21784,1296,39.9,2.3,32781,1304,32781,,26193,1260,26193,,1852,496,7.1,1.9,1721,483,6.6,1.8,2245,529,8.6,2.0,2375,631,9.1,2.3,3599,675,13.7,2.4,5234,891,20.0,3.1,3365,690,12.8,2.6,3876,702,14.8,2.6,775,333,3.0,1.3,1151,534,4.4,2.1,57294,4794,,,72827,7514,,,3734,816,14.3,3.0,30527,2897,,,64428,293,64428,,60078,1225,93.2,1.9,45701,2420,70.9,3.7,26544,2419,41.2,3.8,4350,1211,6.8,1.9,,,10.3,3.4,,,21.4,7.5,,,28.9,19.3
0500000US36117,36117,"Wayne County, New York",73570,616,73570,,44776,1739,60.9,2.4,28794,1780,39.1,2.4,44670,1750,44670,,35577,1164,35577,,1852,614,5.2,1.7,1452,482,4.1,1.4,4051,992,11.4,2.7,7001,1044,19.7,2.9,4401,835,12.4,2.3,6563,939,18.4,2.5,4522,740,12.7,2.0,3834,663,10.8,1.8,1205,473,3.4,1.3,696,340,2.0,1.0,45951,4566,,,60714,3467,,,4021,846,11.3,2.4,24631,1317,,,90875,556,90875,,83999,2074,92.4,2.2,63077,3321,69.4,3.7,31843,2505,35.0,2.7,6876,2022,7.6,2.2,,,10.2,2.7,,,18.6,4.9,,,20.6,11.6
0500000US36119,36119,"Westchester County, New York",775921,1674,775921,,508320,5427,65.5,0.7,267601,5395,34.5,0.7,508209,5427,508209,,342557,3234,342557,,19402,2015,5.7,0.6,10270,1521,3.0,0.4,22531,2300,6.6,0.7,23434,2264,6.8,0.7,32133,2733,9.4,0.8,49256,3021,14.4,0.9,34734,2441,10.1,0.7,54789,3182,16.0,0.9,34493,2261,10.1,0.7,61515,2428,18.0,0.7,83477,2590,,,134686,3222,,,28105,2312,8.2,0.7,48466,1308,,,959734,2541,959734,,871641,7114,90.8,0.7,709818,10025,74.0,1.1,273043,7214,28.4,0.7,88093,6863,9.2,0.7,,,6.7,0.8,,,9.9,1.4,,,7.8,3.2
0600000US3600101000,3600101000,"Albany city, Albany County, New York",84723,1550,84723,,51272,2688,60.5,3.1,33451,2706,39.5,3.1,51272,2688,51272,,41262,2095,41262,,5013,1092,12.1,2.6,3392,950,8.2,2.3,4761,1282,11.5,3.0,3584,973,8.7,2.3,5700,1340,13.8,3.0,6874,1131,16.7,2.6,4129,820,10.0,2.0,5090,915,12.3,2.2,1765,658,4.3,1.6,954,479,2.3,1.2,44268,3319,,,61159,4951,,,9879,1443,23.9,3.5,27002,2499,,,97105,569,97105,,88113,2431,90.7,2.3,61210,3751,63.0,3.8,36084,3188,37.2,3.3,8992,2240,9.3,2.3,,,19.5,4.7,,,38.2,10.8,,,47.1,21.7
0600000US3600117343,3600117343,"Colonie town, Albany County, New York",68909,1894,68909,,45919,2529,66.6,3.7,22990,2833,33.4,3.7,45919,2529,45919,,31651,1747,31651,,827,464,2.6,1.5,1144,608,3.6,1.9,2235,837,7.1,2.5,2653,787,8.4,2.4,4434,934,14.0,2.8,4907,1017,15.5,2.9,4517,992,14.3,3.1,6596,907,20.8,3.1,2510,654,7.9,2.2,1828,705,5.8,2.2,72400,8772,,,88252,6567,,,1794,772,5.7,2.4,34217,2509,,,81796,1604,81796,,78786,1685,96.3,1.1,68122,3234,83.3,3.4,23679,3126,28.9,3.9,3010,930,3.7,1.1,,,4.8,3.0,,,9.8,6.5,,,0.0,8.5
0600000US3600508510,3600508510,"Bronx borough, Bronx County, New York",1111679,1857,1111679,,648994,8615,58.4,0.8,462685,8977,41.6,0.8,648915,8600,648915,,492481,3016,492481,,80863,4305,16.4,0.9,45953,3388,9.3,0.7,71770,4266,14.6,0.9,52165,3473,10.6,0.7,68077,3855,13.8,0.8,74277,3797,15.1,0.8,42291,3725,8.6,0.8,37068,3176,7.5,0.6,11540,1565,2.3,0.3,8477,1161,1.7,0.2,33712,1709,,,48932,1152,,,183082,5833,37.2,1.2,18158,410,,,1416359,2309,1416359,,1227245,10370,86.6,0.7,601029,16036,42.4,1.1,759031,15464,53.6,1.1,189114,10105,13.4,0.7,,,29.1,1.4,,,38.1,1.8,,,25.6,4.6
